"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","QC.1.Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Test","Test","Test","Test","Test","Test","Test","Test","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M725.853T17.122","22828.989","22571.734","21116.353","22485.579","20499.993","23351.841","17127.972","21193.369","19988.531","20854.217","21028.38","37276.407","20022.831","21174.797","21556.476","23963.676","20836.2082","20547.544","22773.87","22617.65","30922.512","20964.821","18651.431","22830.093","19194.23","13899","19266.851","21246.471","21808.441","19341.024","15475.855","15475.855","15475.855","15475.855","18188.902","18188.902","21704.92","22587.818","22423.305","22464","14255.54","19344.655","35094.625","20001.137","18056.289","22096.78","21127.3914","19491.914","21039.707","21493.234","17462.143","23626.238","13705.508","23317.118"
"M728.859T17.123","51146.122","58693.554","49543.111","63880.922","58943.957","63940.326","40340.731","62972.463","54706.945","62440.762","50326.681","103926.237","63552.086","50045.688","57632.38","66198","58073.769","55211.138","62975.417","63184.988","54762.673","51086.455","55273.324","62407.338","52351.913","39103.632","45611.835","59505.984","63418.68","55798.234","45603.834","45603.834","45603.834","45603.834","47728.065","47728.065","60282.209","62482.534","57675.694","64367.383","42567.342","58417.047","48525.007","61394.003","45890.385","63529.999","64159.3918","60319.851","51187.28","67879.389","55606.055","63941.09","37204.711","72275.646"
"M732.841T18.125","21045.937","19905.538","18801.55","18441.795","20926.592","21036.706","12900.205","18950.29","18180.487","20665.673","20052.414","21668.292","20196.258","18303.912","19115.165","18473.674","23526.3549","16898.991","20858.744","20578.621","18837.989","18776.16","21284.686","20503.502","16858.512","13530.688","12661.05","18549.819","19501.56","17430.752","14170.822","14170.822","14170.822","14170.822","19324.685","19324.685","20333.957","19567.749","20222.742","23012.486","15189.538","16678.462","28983.486","18501.967","18149.05","10050.062","21062.4469","10224.582","21008.516","19384.256","18179.406","20274.883","12039.354","22564.292"
"M733.846T16.933","16509.798","12700.331","13239.6","16051.45","14022.914","14866.577","13569.085","15179.629","5462.338","16559.53","13875.502","20680.142","12086.15","8080.168","8716.338","12040.012","21443.8992","13708.221","14912.486","14488.493","14403.123","12049.002","15649.18","12141.336","12519.371","10048.393","13815.803","14828.246","8742.148","12018.671","13389.1","13389.1","13389.1","13389.1","26232.09","26232.09","15959.736","17702.75","13253.445","13769.461","7729.646","16950.7","21303.869","20240.882","21183.446","8183.594","14671.5911","14832.257","15550.294","13257.314","6439.26","14081.115","7146.622","13875.531"
"M733.848T12.11","8862.292","9642.842","6329.416","7578.668","6984.65","8355.668","8165.174","5824.469","15916.561","4903.408","6413.182","5993.99","5800.74","6105.637","6809.359","9717.199","5816.5077","6849.54","6951.69","6651.265","6265.831","8648.143","8514.867","6611.377","6955.508","5802.646","7450.82","5771.821","6589.549","7820.725","6992.81","6992.81","6992.81","6992.81","8806.476","8806.476","5653.677","5644.884","8305.886","6511.467","14517.004","7766.959","8329.054","5638.807","7892.445","5981.093","7330.942","8820.382","7454.52","7333.293","14826.026","6152.418","10587.668","6297.705"
"M748.186T13.112","23648.734","23359.87","23381.352","22577.919","24592.272","22013.106","22051.958","24723.667","23469.274","21988.5","22685.691","22554.172","21441.764","24872.394","25125.15","23548.581","22756.746","23238.538","24001.838","25274.388","21301.944","23485.576","22547.031","21702.215","21899.082","20952.427","21174.528","20719.397","22890.777","21696.896","21816.687","21816.687","21816.687","21816.687","20378.702","20378.702","23953.089","23242.953","21845.022","22605.614","22376.269","23495.356","21007.66","23344.667","22227.941","22878.318","24257.2848","23052.363","23482.142","24942.2","22526.726","23380.181","20351.009","25833.561"
"M748.848T18.125","24167.869","24266.582","19423.994","23273.356","21398.002","22835.544","19159.306","21985.513","21864.898","24400.984","22041.812","35043.914","21247.552","24239.225","22758.724","22336.81","24011.032","22883.258","23736.046","23367.106","22243.964","22060.733","25704.874","25170.946","18725.213","14853.951","17695.421","22668.415","23930.177","22521.362","18169.623","18169.623","18169.623","18169.623","27266.803","27266.803","22148.229","24798.651","23747.125","23075.743","14205.217","19027.542","34420.397","24735.497","34727.214","22674.946","34428.978","24024.384","23202.906","22688.64","21515.89","23275.004","15672.212","24692.842"
"M748.852T11.107","14644.891","11965.019","16441.176","10274.539","14825.395","13124.034","12139.483","14009.116","13618.734","14808.292","12468.022","10366.572","14215.693","9906.844","15260.61","13886.01","10740.3185","21273.63","11542.619","12894.568","10391.382","10276.125","15374.791","13972.57","9432.692","10634.146","10398.309","11851.769","12394.293","9957.155","10109.638","10109.638","10109.638","10109.638","13359.767","13359.767","10047.633","15562.548","13560.467","13958.976","10422.152","12870.16","12793.247","16864.19","13410.619","11049.973","10003.487","15169.372","10170.928","10116.386","14083.323","15690.932","11401.347","16361.515"
"M755.848T17.122","15672.312","13283.961","13151.269","12311.336","15623.318","18281.709","8864.615","13432.835","11436.769","14694.471","13063.521","15411.412","12458.562","14183.488","14579.608","14879.118","11670.588","13811.69","16002.317","15644.794","9926.701","17319.804","15901.849","12871.941","13793.11","6762.655","11938.486","13886.656","12900.019","10098.123","8297.079","8297.079","8297.079","8297.079","13241.456","13241.456","13189.45","14839.434","15324.991","13932.862","10265.81","15889.269","27044.167","12729.076","12172.564","14782.829","14956.5839","13503.495","14385.281","14527.171","11931.08","13061.253","10120.111","15722.421"
"M759.846T17.125","23480.73","22880.5","22969.934","23341.233","22852.352","21816.96","18111.66","23164.064","20788.297","22190.372","20155.625","24641.859","22900.496","20628.442","21775.13","24228.367","21812.6378","21485.166","21848.246","23551.576","22373.934","22470.194","24347.335","24530.402","23185.507","13659.787","19581.826","21879.791","24636.873","25263.15","17716.857","17716.857","17716.857","17716.857","21418.651","21418.651","22206.42","25249.937","22876.634","24408.367","15251.939","22835.057","20097.628","26981.718","36088.953","25342.941","22968.9993","23851.954","34745.045","23819.863","20220.384","26010.037","15865.103","31478.328"
"M762.841T18.125","35714.383","29865.403","33322.268","28408.972","32548.718","34327.549","30429.014","29017.945","30915.197","29861.997","33041.661","52368.297","32009.507","34101.846","33585.242","32862.292","51068.731","27975.995","35757.874","36467.021","30954.994","34896.542","37720.002","34609.686","30975.183","20583.657","19826.965","32455.074","31323.798","31922.77","25674.509","25674.509","25674.509","25674.509","29397.754","29397.754","33080.946","33940.697","34511.42","36036.669","22266.985","27961.62","49618.075","34092.813","30488.208","34845.274","51760.818","32990.576","47917.353","38088.186","29356.075","34340.959","24852.334","42351.408"
"M762.847T11.105","21040.75","19684.878","15414.155","23147.399","18279.038","15856.243","21319.286","18790.466","14999.866","17259.878","21339.584","18092.337","15058.223","15046.107","19506.466","20729.758","14516.1098","18846.37","19125.204","20719.974","13519.629","19176.3","21387.178","19883.424","16642.623","13823.458","15793.072","19811.317","20380.96","14462.959","15750.144","15750.144","15750.144","15750.144","18531.428","18531.428","16725.964","16601.656","19897.64","21153.063","16320.8","17264.894","17972.533","16540.767","20826.715","19360.354","14675.2579","21885.945","19615.324","18076.294","20268.594","20316.768","14930.288","24655.573"
"M764.831T18.142","20858.388","17755.106","21640.379","20715.962","22234.504","19198.604","15625.061","21909.832","18313.67","21194.842","19646.764","27604.278","19552.482","20171.399","19341.51","21783.154","20123.2483","19056.693","22688.376","22709.926","20020.503","21207.432","22284.654","21183.678","17068.223","15266.763","16241.003","18699.642","20858.926","19779.37","16253.788","16253.788","16253.788","16253.788","23928.666","23928.666","20866.842","21703.834","20549.627","18844.021","13672.423","30599.351","22519.893","22136.595","18974.078","19551.623","30617.578","20251.697","22015.995","17990.83","19075.38","21506.216","15349.425","20959.562"
"M764.834T11.202","10423.45","12715.584","9392.225","9960.141","10322.407","11689.234","10480.346","9750.052","11622.838","11039.043","9799.362","10509.766","8554.817","8061.566","12395.195","11115.445","28252.3497","19081.072","11101.733","9727.094","9610.512","10312.366","10128.25","10021.968","11131.177","10525.271","12114.369","9713.747","21164.967","9755.536","10328.789","10328.789","10328.789","10328.789","14701.283","14701.283","20764.106","12086.15","12657.565","11026.05","8764.246","11062.099","9523.187","21613.331","28057.597","10568.355","12725.4241","10747.86","24043.525","11165.546","9494.51","8105.739","12392.258","9182.421"
"M764.837T11.106","8562.62","12726.064","7667.945","7097.123","7059.783","11695.104","8339.574","6202.226","7169.794","7433.482","9798.066","6690.312","8535.834","6557.684","8452.582","9027.41","6578.7479","9402.122","9274.278","7589.82","8447.587","10310.785","10128.236","8607.264","7782.303","6837.169","8157.346","7858.216","7273.995","6322.299","6235.52","6235.52","6235.52","6235.52","11542.524","11542.524","9179.456","9598.71","8720.272","6964.071","6998.362","8907.235","7636.366","9270.195","8238.032","6732.261","8262.3547","8884.574","9869.824","7505.747","7808.403","8084.18","8576.25","6921.697"
"M767.839T17.122","15725.718","15921.967","16974.531","13608.838","16051.096","18732.336","14479.308","16693.022","6236.654","14591.644","9598.71","12482.558","14443.2","12624.261","18491.308","12611.722","14621.2423","14499.619","13674.635","15761.142","18875.07","15539.249","15731.397","16533.342","15612.34","10718.16","15853.535","12935.757","15656.46","14811.85","13487.941","13487.941","13487.941","13487.941","20765.127","20765.127","14515.416","15676.663","12164.368","19890.196","12507.766","8471.338","16543.314","11680.873","17643.017","12288.034","22158.276","13972.548","21774.034","12742","14449.059","10800.223","12109.554","12360.859"
"M767.841T12.14","8579.581","9524.564","9472.449","6379.575","8310.309","6508.542","5826.53","20476.155","15641.895","8710.052","7922.486","16766.634","8434.213","7782.125","7765.967","7701.973","6844.9257","8639.865","9495.38","7786.779","7136.501","9301.968","7449.837","6589.346","8280.701","7743.107","7600.863","6516.962","8174.096","8492.822","8212.501","8212.501","8212.501","8212.501","13918.412","13918.412","8264.503","8740.142","9260.171","8073.943","7641.705","13638.533","20051.989","8464.266","7115.343","8067.014","9339.5284","7966.179","8146.238","7627.761","7730.362","7335.942","9763.284","8005.87"
"M768.855T17.124","47211.461","52784.461","51771.93","54554.133","51405.756","62411.011","60986.412","42555.302","40958.508","65606.23","46966.518","109348.004","62739.656","60809.884","60695.542","51223.359","49087.5842","42372.677","53006.002","45062.06","61651.362","51736.746","58982.418","49560.023","44046.829","28999.453","32247.935","59201.292","51764.83","61030.654","34067.099","34067.099","34067.099","34067.099","44173.625","44173.625","48992.538","66934.697","55257.861","69750.72","32393.664","45767.262","41348.228","59497.815","44622.015","53802.008","55147.3937","52583.278","51716.838","55268.151","43140.868","64611.125","30711.237","72167.694"
"M771.182T13.584","20981.385","24194.129","22179.368","23299.595","24456.106","23734.492","21883.185","24591.305","21229.335","23389.96","24995.974","24069.693","26398.52","25233.474","20399.014","24754.762","22142.465","24548.179","24454.492","23155.999","20460.039","23429.419","25325.102","24591.638","24175.179","18236.896","22286.946","24535.891","24401.858","22249.561","20952.866","20952.866","20952.866","20952.866","21981.879","21981.879","24208.694","23965.033","22694.357","22372.918","19943.666","21333.157","22326.99","22039.211","22678.303","23851.813","23428.3126","22801.612","26110.651","23020.369","22666.98","26401.896","21421.904","27013.183"
"M771.505T1357.807","2129698.097","1183344.967","966360.336","1170353.288","1735722.387","1426160.401","1158535.899","1019486.049","1534893.169","1590090.895","822903.441","24645.584","1316781.963","723849.471","1294981.873","1355538.819","25879.4792","2421602.297","981472.121","1368429.513","798823.294","2687171.234","1449831.583","762931.072","697102.206","17563.4","1607509.719","688965.98","1047086.624","1455717.472","30094.836","30094.836","30094.836","30094.836","1603853.621","1603853.621","815041.755","1716776.571","1618005.261","1472819.041","1349200.531","2376410.34","20585.303","361145.356","16264.654","34128.08","31576.7458","758411.654","39206.687","1167389.781","298692.378","591875.921","491085.214","1805801.018"
"M772.843T17.125","60246.066","58088.795","75950.203","65239.941","74330.324","57790.017","45488.914","56096.501","52771.93","72801.752","52728.322","59111.513","72168.82","73070.556","70195.958","75720.482","54386.1992","53590.369","77113.872","59252.228","50682.314","57435.298","66343.871","73742.977","48538.688","27233.068","35422.228","70873.46","57481.025","49719.812","38382.356","38382.356","38382.356","38382.356","48435.441","48435.441","73236.589","59117.066","74221.397","58636.757","45543.965","54488.46","57302.067","73949.59","55962.359","58644.339","61451.8441","58705.204","63914.097","61808.118","64954.074","72991.832","32472.633","70439.013"
"M773.342T12.107","8671.126","7383.141","8682.562","6824.949","7911.93","8212.916","9412.687","7754.789","7259.323","7134.618","9737.188","8038.809","6823.101","10306.828","8695.173","9709.178","7251.5321","7195.183","7622.75","7826.5","7343.442","11526.183","13756.587","8237.059","5199.817","8568.829","8560.599","10208.504","11229.588","6895.48","7207.314","7207.314","7207.314","7207.314","6595.632","6595.632","11372.014","7115.282","8054.572","8247.401","8586.614","10449.411","10151.326","15095.294","9224.354","8214.281","8892.2114","10776.593","6557.361","8100.33","8463.456","10375.032","7037.819","10986.491"
"M773.843T17.12","11877.888","14395.414","12916.728","15457.783","15511.775","12188.186","11717.296","15025.664","14517.726","16618.83","13288.098","14638.488","15402.068","13021.415","16555.518","15674.703","13711.4233","14100.174","14495.594","12372.123","13224.786","13939.694","11899.592","14047.468","14720.289","12045.392","11222.239","14402.557","13707.626","15538.683","12525.556","12525.556","12525.556","12525.556","13576.612","13576.612","14999.486","16809.492","15214.603","15180.619","9494.447","12607.71","13171.818","13763.249","12769.748","16093.851","15380.1317","12465.689","24334.77","15968.879","10637.702","14058.842","11116.801","16387.502"
"M774.824T18.125","23328.675","21870.997","21159.262","22076.264","22149.318","24350.804","18896.52","19632.213","20689.386","23940.911","21435.157","29341.33","21375.936","20993.351","19708.95","22451.152","31431.6882","20178.354","23302.041","22736.962","21072.324","22128.186","21839.322","18733.385","18446.554","14223.645","15852.356","21407.826","21076.046","21482.254","14678.758","14678.758","14678.758","14678.758","18024.406","18024.406","21618.662","23093.794","12983.085","22181.194","13792.567","22123.423","31269.756","21708.477","19339.803","21687.246","29777.064","22191.455","32490.488","22324.305","19337.908","23105.916","14403.117","22723.9"
"M774.828T14.53","20586.754","17598.473","10294.745","18078.869","19017.345","20363.485","11638.181","18900.855","16959.674","20895.28","11343.674","18658.885","10587.562","18692.251","18307.727","10413.004","18563.2978","19610.004","20007.898","18701.674","21377.792","20677.606","9582.944","19406.328","19361.398","20149.108","20312.395","20427.285","19705.764","18329.05","18223.276","18223.276","18223.276","18223.276","16943.935","16943.935","20281.129","20799.257","22490.881","19376.06","19471.666","17859.108","18862.371","18656.894","30898.054","18878.533","18808.869","22219.698","20833.66","20019.386","18661.632","22976.195","19464.957","13032.661"
"M780.837T18.123","15298.872","16787.652","18351.045","16859.634","17762.385","18695.099","13098.085","17159.011","17414.189","18473.254","16381.712","20652.34","17682.89","16578.154","19071.042","18354.9","19161.2413","15837.37","18242.077","17971.754","17702.664","18792.208","18059.947","14895.363","15728.438","9046.405","15012.961","17214.603","19222.904","15765.154","13946.342","13946.342","13946.342","13946.342","14140.683","14140.683","18344.87","17375.09","19589.789","15757.614","13303.427","14439.259","26441.454","19720.669","15697.499","15961.797","26988.724","17608.166","17172.202","19488.612","17740.183","17977.318","12035.18","18887.126"
"M788.836T18.125","29546.082","28846.28","28345.918","28987.31","29097.03","30870.8","21188.302","28729.209","27537.027","28384.9","29724.66","44695.984","29241.462","26690.768","26298.124","28840.571","42270.823","15205.48","28914.377","28122.114","26873.186","29918.777","31198.02","15352.973","26380.691","19516.694","22868.021","26924.163","26847.025","26434.957","23212.831","23212.831","23212.831","23212.831","23581.183","23581.183","27769.058","30294.309","29533.182","31779.624","19758.879","23814.738","26195.149","29460.299","45032.964","28631.571","43417.864","30488.712","39496.864","31622.091","24783.872","27959.685","17472.601","32439.813"
"M788.841T11.105","18526.943","12354.028","12969.885","12379.757","12699.991","12857.877","15366.315","12689.29","15602.668","12825.062","17065.4","14307.716","14232.702","12803.958","13631.192","13837.774","11988.976","12671.783","13573.879","12830.888","10195.283","16417.834","17157.056","12269.074","13605.986","12242.782","12370.437","14169.761","14574.082","15344.739","15039.485","15039.485","15039.485","15039.485","13604.692","13604.692","16776.178","16770.16","14077.956","14084.548","13118.16","14001.089","14553.906","15960.213","15850.272","13021.32","12538.9608","16182.931","15458.447","12897.933","12978.505","14119.809","13087.004","15941.404"
"M794.18T13.113","22304.714","23689.333","22458.694","23712.209","22375.396","22864.114","20401.02","25785.428","22803.908","23005.609","24801.445","21446.854","25041.897","21518.362","22250.552","23684.13","21352.4053","22421.062","22615.144","21884.175","19734.121","22851.775","25336.183","21567.741","20352.876","19497.476","19122.989","22456.688","21413.972","21686.866","19968.071","19968.071","19968.071","19968.071","18581.268","18581.268","25227.456","24634.622","20832.542","23490.26","18266.636","21459.816","21077.296","20264.133","22846.011","22525.486","24173.079","22240.872","23506.202","23337.488","20571.994","22095.85","18973.285","25562.811"
"M794.836T17.122","19086.992","18064.995","18770.761","20109.908","15712.393","19442.502","13314.991","18516.414","18789.166","15747.1","18478.766","29578.018","18375.268","28328.732","18153.912","14322.84","18972.8075","18009.153","15864.823","19532.68","19659.857","17329.849","16316.993","16648.277","15911.112","12668.764","13742.335","15745.094","18925.808","17043.741","15498.683","15498.683","15498.683","15498.683","19861.952","19861.952","15414.104","19487.057","14831.445","19399.614","12230.537","14945.069","16842.844","18219.218","30186.144","18396.919","18492.2287","16541.476","27234.999","18841.68","15540.038","19290.223","24012.208","21841.9"
"M795.842T12.608","12248.665","12286.328","11110.208","8038.917","10926.489","10366.296","8773.431","9527.412","10051.05","10754.242","8926.99","10220.728","10243.51","8160.436","10176.536","10630.117","7861.236","10339.73","10264.702","10031.591","8306.499","11299.272","8473.368","8812.718","9252.565","10767.136","9665.038","8438.856","10266.431","7087.281","8253.196","8253.196","8253.196","8253.196","14006.152","14006.152","10296.223","8244.66","9464.576","8608.93","10646.677","8664.752","9644.047","10218.446","9846.269","9350.697","10365.2249","10583.903","11689.036","10170.504","9847.951","10647.848","9107.177","7180.621"
"M799.252T819.392","88640.595","108724.747","137561.292","145283.962","105077.828","120812.045","104707.673","132556.323","98437.876","164023.548","145148.655","32671.596","140843.283","141676.122","122747.808","115864.605","16547.6623","92825.624","127736.405","141695.324","125289.925","140806.772","141070.829","92165.611","124810.883","29973.159","71022.669","143473.849","147758.07","105465.83","54362.585","54362.585","54362.585","54362.585","99579.614","99579.614","122719.926","130975.531","81810.959","104970.684","109706.22","133158.124","49534.458","65043.405","66652.223","24990.185","52031.5774","57518.746","45409.037","121177.545","117736.772","79134.594","128527.864","67530.69"
"M800.829T18.124","18205.037","18361.306","17202.9","16181.719","18680.848","20245.429","12850.736","18639.498","18047.338","19688.89","18110.741","17863.491","18375.268","17443.049","17432.14","20944.177","20006.3382","16362.942","20058.423","19831.639","18373.538","19277.66","19786.393","19609.876","16713.993","12577.636","14373.898","18527.416","19066.326","17575.643","14416.229","14416.229","14416.229","14416.229","17286.178","17286.178","18868.428","17345.417","20890.549","19314.945","13861.007","18091.543","17502.495","18329.1","25205.302","19426.778","27726.932","17073.572","19114.783","20480.001","18034.342","20701.949","13779.214","20000.139"
"M801.833T16.971","17964.282","18677.076","15957.998","16657.728","16375.766","17259.792","16285.184","19940.235","22254.517","14896.556","14604.1","16463.635","14736.076","16974.772","16200.456","14717.511","16918.3499","20988.778","9610.746","8617.776","16360.588","17310.599","17572.619","12968.491","19979.787","11082.452","12964.46","18055.614","24196.522","21179.52","14981.954","14981.954","14981.954","14981.954","21374.981","21374.981","15664.37","17981.229","16051.042","15471.713","11372.526","15437.983","16114.378","15007.017","20968.823","14812.2","17741.7833","17568.351","23927.586","15949.701","17597.467","9351.972","13152.271","13667.603"
"M802.829T18.125","11213.933","10494.622","13502.243","12094.305","10861.894","10553.726","8378.485","12274.554","9982.49","11110.414","11479.352","14283.506","12584.067","11654.86","13341.906","14890.538","10266.7922","9265.625","11029.06","12355.59","9229.564","12677.316","11872.547","11769.04","10435.553","7968.616","6947.382","10855.511","15070.937","10270.025","7235.098","7235.098","7235.098","7235.098","11729.276","11729.276","12332.888","12036.006","11978.292","12527.681","7188.08","10139.503","23680.944","11391.961","12099.714","13195.321","21632.704","11716.198","10325.217","13540.272","10422.066","12547.456","7098.752","14521.211"
"M802.846T12.108","9817.754","11154.197","8893.012","7826.662","10178.065","10787.287","10527.285","9530.046","10206.524","10410.094","10630.039","8246.661","8398.032","9042.624","11532.583","10656.394","9875.8242","9561.038","8425.817","10753.47","8666.572","8249.029","10784.55","9219.335","8063.95","10665.833","10176.69","9318.994","8926.868","8953.994","11154.342","11154.342","11154.342","11154.342","12210.522","12210.522","10080.15","11305.816","10043.491","11394.855","7370.574","10042.999","11163.375","9157.73","9612.877","9640.325","10300.0741","11938.281","11032.621","8604.548","8025.828","8556.282","10817.906","9799.134"
"M807.333T17.122","15889.5","15432.158","15639.844","12980.826","14932.588","15238.102","21012.671","15406.619","14549.871","14828.352","12879.048","23417.927","15581.685","14685.926","10778.238","15602.668","15258.8119","17002.856","14757.647","15478.296","15000.86","12379.1","14465.889","13997.082","13062.4","10746.882","19144.684","13989.844","15102.677","14947.786","12854.625","12854.625","12854.625","12854.625","13266.043","13266.043","15497.386","16265.957","16252.464","15388.929","10520.983","13117.246","12273.911","15799.5","13627.249","15253.833","17063.4295","12589.905","13719.648","14059.256","14267.389","14911.809","9452.489","14324.471"
"M807.829T17.13","11739.695","9624.115","10972.777","9948.201","10567.819","10043.049","9742.535","9681.502","9468.498","9058.016","8423.615","10179.242","9540.54","8804.186","9684.777","11106.242","9867.5726","10041.223","8958.012","10275.305","11753.361","7937.742","10679.944","9177.84","9405.488","5917.66","7858.168","9396.94","9546.497","9539.917","7629.955","7629.955","7629.955","7629.955","10687.847","10687.847","8563.363","10886.397","9858.803","10980.017","6766.898","10096.018","10253.149","9921.696","10939.279","9981.019","11856.6596","11133.371","10489.727","11037.358","9300.723","11582.885","7820.177","9187.026"
"M809.85T12.106","9410.861","7768.404","8734.495","10170.398","8238.132","9513.255","9813.466","8581.962","9263.474","8630.067","8877.617","9545.174","8068.382","9342.168","8637.985","8853","7977.6469","8742.124","9370.731","8276.02","7245.227","10080.141","9418.538","6852.815","7953.567","8745.112","8427.135","6770.713","8266.726","8121.445","8610.966","8610.966","8610.966","8610.966","9973.832","9973.832","8629.812","9000.922","9558.162","8664.192","7537.162","7710.88","7963.106","9421.045","8422.967","8912.186","9224.1122","8677.803","8770.949","9809.987","8510.232","10819.05","8596.022","9841.522"
"M810.844T12.109","10173.591","4990.939","7306.723","8117.772","7607.162","5413.104","9283.464","8435.554","7111.973","7633.988","7359.029","7284.293","5465.31","7857.568","6076.797","8139.867","4860.4461","9470.326","7743.299","9035.024","7957.824","8479.673","8239.728","6983.594","8763.619","7463.474","7675.387","8824.885","6428.975","6145.126","7419.952","7419.952","7419.952","7419.952","7257.82","7257.82","8552.844","7618.788","8108.211","7176.622","6753.088","7880.987","7929.498","7806.342","8408.023","5134.958","8127.2166","9227.057","19283.761","8219.625","8083.686","7195.575","4719.344","9546.757"
"M813.834T17.116","19716.238","23714.932","19989.79","22245.883","21660.37","24140.203","18634.668","21709.336","22248.215","24647.722","24146.337","24673.984","22292.678","21069.331","24358.822","23681.365","22053.6178","21412.044","23673.446","25586.53","21356.639","24354.92","27391.755","23441.334","21235.999","15540.36","22458.501","24476.884","23263.809","19997.814","19318.079","19318.079","19318.079","19318.079","20792.762","20792.762","20623.538","23452.26","26450.831","23817.344","16671.051","23264.28","19604.61","22844.97","19686.538","23216.977","24614.2226","23280.326","23166.935","26445.343","15961.392","23784.286","18876.906","25047.803"
"M816.508T13.111","58521.038","56050.684","55662.339","57731.922","58557.146","54177.313","51329.528","57122.233","56295.723","59827.553","55010.538","56443.641","56346.309","55800.902","54093.796","52689.956","53374.986","55411.738","55993.913","54868.172","53157.624","56988.006","58566.233","57442.1","52112.112","47905.819","48845.355","53003.95","52503.439","55445.84","51562.762","51562.762","51562.762","51562.762","49359.93","49359.93","55917.25","54024.876","55140.651","55720.507","47495.487","54936.248","58321.556","51578.878","54772.877","54103.913","55100.4402","58512.549","56419.724","56319.561","52369.28","57258.283","45616.581","62779.906"
"M817.177T13.11","12796.274","13875.12","14038.594","13312.878","12719.449","12885.706","12130.282","15427.542","13002.024","13476.92","12551.542","12411.218","13439.228","13929.664","13538.603","10696.956","11427.8678","13109.21","12115.712","12402.563","11779.21","12698.774","13529.712","13235.574","14073.295","11713.614","12533.621","13064.042","12767.367","11667.417","11786.163","11786.163","11786.163","11786.163","12441.84","12441.84","13664.176","13350.605","12507.264","11163.39","12733.125","11859.259","12504.47","12657.061","13590.023","9869.313","12169.7429","12510.991","13246.799","13480.035","13125.319","10899.504","10234.063","11876.571"
"M817.179T13.109","11725.475","12597.16","11802.831","12216.124","11545.044","11245.633","11502.071","13456.87","12103.337","11878.261","12438.416","10780.818","12191.734","12671.294","11969.212","11056.593","10829.8498","12251.054","10848.09","9345.954","11214.357","10203.136","11531.591","11192.997","11674.407","11702.196","11675.176","12989.561","11654.985","11329.658","11420.51","11420.51","11420.51","11420.51","11044.4","11044.4","12454.982","11155.366","11740.287","10183.266","11280.097","10848.425","11614.54","11311.725","12452.325","10301.085","9997.4996","12213.181","11440.398","11605.941","11765.183","10946.886","10763.502","11510.833"
"M817.26T833.71","98895.424","105112.742","202255.198","167005.251","145865.418","153716.343","140788.426","139935.414","128161.618","240086.713","182231.919","53684.762","212402.847","201491.877","145208.619","147290.972","21243.8207","108279.752","177247.173","214024.024","162819.785","146532.066","187584.628","128884.43","145026.753","32377.582","88485.614","164958.774","206183.563","154862.969","52753.075","52753.075","52753.075","52753.075","134169.438","134169.438","150780.226","157049.265","98791.507","130919.165","139246.071","158475.71","71014.001","91703.939","57768.811","26775.707","53199.7014","49392.551","65605.692","169245.649","151346.453","95664.243","143661.107","79279.499"
"M817.264T834.906","107613.606","105112.742","201461.285","184860.901","150962.807","153716.343","129333.496","167044.728","135855.013","240086.713","189588.6","51297.82","228197.704","217290.617","138708.698","169707.187","24511.6587","108279.752","194678.459","214024.024","184814.785","146164.364","190175.275","137817.402","145026.753","35326.452","100679.581","174781.998","188018.995","150849.067","58129.098","58129.098","58129.098","58129.098","150994.67","150994.67","145453.14","144796.629","106987.657","130919.165","139246.071","171176.652","75936.672","106265.928","51314.957","26776.568","50092.3452","53158.366","57989.314","157562.46","165954.856","116846.32","168222.674","87638.102"
"M817.498T15.117","24594.52","26083.106","22824.862","23193.065","25638.819","24686.356","22859.724","24394.979","23690.433","23020.856","24119.123","25287.272","25295.491","25056.018","21104.386","24005.285","24162.9768","23223.471","22183.891","24668.519","23032.483","24624.621","25715.634","26911.365","24295.371","18682.25","20565.938","24360.441","24838.604","20162.837","19550.337","19550.337","19550.337","19550.337","18676.33","18676.33","22761.111","26315.804","25405.248","25818.066","20810.526","23199.947","24617.469","23412.53","23798.553","25332.44","24186.342","26656.647","25044.646","15209.442","21999.114","23288.126","18349.308","25071.374"
