"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"M695.451T1225.817","131814.72","134866.19","145598.54","165873.25","191847.10","145608.29","225458.18","131072.65","143600.14","163000.00","124055.04"," 29981.88","173047.70","152494.05","129000.00","197000.00"," 42074.50","225171.35","254000.00","228577.64"," 36154.26","222289.97","229877.84","369653.90","369000.00","278107.41","225000.00","346000.00","217077.04"," 29298.05","213507.89","455781.15","278365.79","276000.00","266705.97","258789.00","219980.79","180925.35"," 29029.71","268725.12"," 35438.59"," 27783.24"," 39075.50","106000.00"," 34732.44","144577.21","385135.54","597000.00","246763.19","208066.29"
"M681.469T1389.183"," 163313.90"," 154095.20"," 163965.73"," 322227.40"," 368577.22"," 207141.43"," 347915.21"," 192312.39"," 174727.49"," 157000.00"," 110750.12","  95071.86"," 444405.46"," 235561.09"," 223000.00"," 423000.00"," 104816.60"," 504877.22"," 571000.00"," 503253.84"," 129317.67"," 345725.65"," 492815.82"," 979108.97"," 837000.00"," 471758.31"," 536000.00"," 999000.00"," 683519.15"," 107228.16"," 793714.18","1185554.17"," 595785.51"," 591000.00"," 352734.56"," 388964.23"," 512799.02"," 326676.04"," 121760.83","1207487.64"," 128814.23"," 344115.31","  79351.45"," 163000.00","  82328.92"," 345199.72"," 917717.56","1170000.00"," 482513.09"," 560648.03"
"M680.474T1439.81","166861.3","142681.9","185464.1","161118.5","235862.3","188803.3","202268.3","135770.1","140539.8","158000.0","121518.4","173865.7","197629.5","197797.3","157000.0","207000.0","185956.9","255051.3","283000.0","281276.6","202525.4","198656.0","257189.4","372540.9","354000.0","294066.0","261000.0","417000.0","309638.8","160746.4","817456.1","494146.7","315296.6","237000.0","239702.5","246827.0","222328.3","205282.4","150829.5","759935.8","148684.5","725999.1","150506.7","124000.0","151702.7","161818.0","277578.2","368000.0","241441.5","243184.1"
"M574.467T1456.399","164944.38"," 54043.66","103990.51","113555.38","134725.95"," 93186.77","120652.64","105149.06"," 55210.13"," 86900.00"," 29038.98"," 99358.25","172111.59","106702.19","138000.00","249000.00"," 19965.30","157050.07","210000.00","185858.48"," 39022.48","131861.67","170449.62","300977.47","227000.00","215760.32","168000.00","347000.00","265759.54"," 62281.96","194411.26","291392.10","167780.80","208000.00","114572.13","125402.35","164559.34","129926.08"," 22835.86","242284.04"," 15297.60"," 52362.66"," 20972.94"," 51300.00"," 34387.33","123673.15","250560.99","240000.00","171999.79","163677.39"
"M565.421T1295.888"," 67494.51"," 60386.76"," 58316.40"," 85393.95","105188.26"," 70201.20","137772.18"," 51088.14"," 77583.40"," 47600.00"," 38843.29"," 23258.96","117777.25"," 78103.04"," 91100.00","117000.00"," 18101.28"," 99801.86","108000.00","102116.58","285637.55"," 92641.57","144289.59","154545.94","171000.00","116017.41","136000.00","191000.00","108760.71"," 24242.88","195841.54","206615.29","116982.23","147000.00"," 79385.41"," 82816.12"," 89369.64"," 69547.13"," 16980.01","370280.45"," 18671.55"," 54028.93"," 38348.75"," 39400.00"," 17041.03"," 68824.04","189567.72","254000.00","120985.91","181151.35"
"M681.474T1424.253"," 164193.65"," 167515.13"," 173417.99"," 318947.22"," 335180.75"," 197036.27"," 202096.75"," 178457.82"," 184424.59"," 175000.00"," 133619.60"," 105579.52"," 453221.95"," 231543.23"," 215000.00"," 394000.00"," 123928.60"," 480019.31"," 558000.00"," 486101.15"," 147355.88"," 311006.46"," 452569.62"," 915500.73"," 791000.00"," 446526.19"," 515000.00"," 944000.00"," 673182.30"," 115480.54"," 910973.02","1130474.38"," 552850.82"," 566000.00"," 350411.23"," 360884.84"," 490147.24"," 308380.46"," 133413.95","1211282.87"," 172594.51"," 380355.89","  85914.21"," 171000.00","  86419.19"," 298296.39"," 590553.70"," 677000.00"," 484012.36"," 547921.11"
"M679.452T1355.733","227084.94","183868.95","226053.86","320695.42","288669.56","228092.92","268682.99","180811.48","209056.93","205000.00","151438.28"," 84643.05","362081.72","258822.43","212000.00","341000.00","126258.78","370953.75","492000.00","387157.15"," 83438.23","300323.78","469544.80","679391.58","624000.00","452803.24","391000.00","726000.00","473312.37"," 77235.75","453571.19","926330.64","500760.65","461000.00","350518.99","336527.11","398857.23","285085.51"," 77708.87","609073.78"," 57593.73"," 65878.85"," 52417.22","144000.00"," 66952.48","262550.57","512714.30","854000.00","417260.52","426273.60"
"M713.46T1208.68"," 68820.709"," 25051.256"," 12831.842"," 60654.609","150949.803"," 34143.797","126512.555"," 36762.569"," 41635.713"," 32000.000"," 68573.418","  4248.768"," 74155.234"," 32623.865"," 59700.000","119000.000","  7077.427","144662.442","131000.000","137325.694","  3511.104"," 92043.434","110080.482","310840.499","341000.000"," 99237.023","143000.000","151000.000"," 51982.084"," 13568.308","112223.948","188974.743","122157.225","193000.000","110938.110","233946.393","202678.207"," 85142.117"," 11646.566","165318.582","  3397.608","     0.000"," 16072.266"," 44100.000","  3727.985"," 51950.436","323998.755","476000.000","143224.427","161352.013"
"M711.444T1322.388","121463.84","121444.61","116726.74","153795.32","152855.29","120245.20","163101.92","106716.29","111145.42","111000.00"," 89774.79"," 36827.94","142993.89","124157.19","109000.00","142000.00"," 32307.62","154409.80","160000.00","172736.87"," 33969.13","139596.41","178116.19","247389.37","263000.00","164782.01","148000.00","235000.00","162198.35"," 42695.29","149305.83","293401.48","214667.88","193000.00","187119.21","178620.62","179071.51","128800.55"," 39385.81","293869.08"," 34352.77"," 51350.29"," 44282.73"," 92300.00"," 35290.43","110621.71","213172.55","371000.00","211175.37","154016.77"
"M637.414T1384.421","112192.09"," 90000.60"," 98339.30","141939.69","137662.60","123541.24","139327.25","104924.70","109516.49","128000.00"," 75374.48"," 42060.98","127573.94","113850.43","124000.00","172000.00"," 41628.81","139944.60","160000.00","143226.42"," 53442.26","143299.11","151115.55","211600.27","195000.00","152124.45","175000.00","212000.00","170563.00"," 48200.34","173888.75","235868.34","172879.44","177000.00","150878.48","152982.55","165725.80","129554.46"," 28108.47","196473.65"," 43962.86"," 64377.04"," 35950.26"," 88200.00"," 44446.99","126386.51","140026.86","260000.00","178258.40","153939.54"
"M637.411T1406.122","108662.69"," 95801.95"," 98967.77","136582.20","115642.99","121914.02","119802.51","114415.58","103849.16","120000.00"," 71203.22"," 43729.97","132442.91","118372.35","122000.00","157000.00"," 45964.12","134487.10","173000.00","145857.17"," 61456.31","138479.70","165096.32","209398.36","192000.00","146092.30","173000.00","211000.00","173891.62"," 60764.16","180067.27","234334.29","179479.61","169000.00","154912.58","145260.22","161020.70","128707.77"," 38008.32","202159.80"," 51048.09"," 73227.20"," 41488.91"," 85300.00"," 44561.65","121720.96","135050.16","240000.00","181352.52","147244.73"
"M729.452T1109.944"," 56554.445"," 36232.915"," 41034.807"," 65154.602"," 79221.743"," 59173.038","159957.925"," 31143.685"," 35665.803"," 46600.000"," 26610.278"," 14884.097"," 56790.368"," 50748.945"," 45800.000"," 74900.000","  7647.472","101677.777"," 95800.000"," 84450.709"," 10357.191","136145.562"," 90870.261","190769.494","170000.000"," 89188.023"," 65800.000"," 90300.000"," 54858.297","  8113.262"," 80678.754","158785.082"," 90531.878","112000.000","121748.239","134618.080","146816.691"," 52526.338","  9758.835","114750.824","  7188.514","  4507.139"," 14504.152"," 48300.000","  2324.368"," 38583.073","241093.286","369000.000","108887.330"," 98978.724"
"M571.365T1456.373","145551.78","120743.00","120616.52","110073.84","161165.25","106444.88","167646.29","164800.99","144653.59","115000.00","105962.87"," 62439.41","156583.66","137318.74","136000.00","200000.00"," 53371.88","180179.40","166000.00","172555.32"," 66311.68","183263.92","149744.00","205001.73","213000.00","198644.20","171000.00","235000.00","186558.62"," 68460.17","150087.44","207958.48","182171.55","196000.00","211052.28","161095.69","150503.90","133948.19"," 60572.98","212539.10"," 52031.32"," 74905.51"," 79493.99","116000.00"," 64881.43","123800.16","218049.63","295000.00","413925.72","185005.97"
"M865.579T1358.969","  2110.547","     0.000","     0.000","  4769.633"," 30687.015","  5492.809"," 18913.122"," 17250.962","  2480.436"," 10000.000","  2774.337","  5039.353","     0.000","  2937.840"," 29800.000"," 15000.000","  2250.955"," 19540.423","  9280.000","  4283.683"," 35030.425"," 34205.668"," 17299.984"," 24226.408","  9020.000"," 99043.956"," 18400.000","  6870.000","  9152.824","  5239.494"," 22403.472"," 18118.453"," 19866.652"," 16600.000"," 18390.532"," 18903.618"," 27529.643"," 21227.995","  6551.551"," 28792.126","  8075.685"," 24206.719"," 12151.261","137000.000"," 14996.151","  6698.389","593303.471"," 39500.000"," 32256.507"," 23902.146"
"M867.584T1358.969"," 24579.920"," 19729.055","  4183.538","  3041.300"," 31251.513"," 13235.168"," 38980.397"," 26404.247","  3228.639"," 19000.000","  4724.904","  7389.607","  5356.638"," 29171.286"," 10800.000"," 47100.000","  6016.550"," 32248.813"," 20500.000"," 24506.329"," 18354.289"," 32761.048"," 35158.164"," 70727.559"," 74000.000"," 49353.927"," 32300.000","  5040.000"," 21154.058","  7990.827","     0.000"," 32630.246"," 28642.034"," 24200.000"," 44686.841"," 31864.559"," 26975.605"," 24935.928","  9626.717"," 21628.575","  8184.267"," 18750.938"," 13110.420"," 47700.000"," 10413.899"," 13466.072","198051.161"," 74800.000"," 48893.973"," 11461.902"
"M682.472T1373.006"," 65050.93"," 71016.98"," 83430.54","133081.70","148728.39"," 87645.69","215892.39"," 94755.96"," 69424.21"," 72400.00"," 57251.11"," 32223.33","214440.43"," 91621.97"," 93200.00","173000.00"," 45161.74","248173.68","242000.00","223915.97"," 40139.07","151684.88","249633.58","404373.07","396000.00","178507.74","231000.00","430000.00","310530.03"," 32758.56","304923.08","480304.73","236355.04","289000.00","180700.91","167466.54","244460.65","133113.04"," 35439.65","507287.18"," 60553.12"," 88886.30"," 17386.83"," 71300.00"," 29281.19","124951.83","453286.55","593000.00","228244.61","283734.41"
"M589.459T1264.044"," 13279.696"," 13540.329"," 13810.302"," 27831.414"," 33645.142"," 14119.026"," 90809.208"," 24190.331","  4303.151"," 18400.000"," 10364.304","  4440.873"," 25035.778"," 20093.651"," 23400.000"," 79100.000","  2649.856"," 41309.870"," 31000.000"," 47899.939","  2791.111"," 58991.340"," 58552.814"," 74029.921"," 74100.000"," 55489.208"," 45400.000"," 54600.000"," 58655.228"," 10292.313"," 31659.597"," 82349.124"," 48393.349"," 49500.000"," 35691.999"," 61135.789"," 33204.507"," 30419.025","  4388.002"," 53483.954","  2188.914","     0.000","  2572.526"," 18800.000","  2216.622"," 19396.500","226642.565","231000.000"," 55875.686"," 49222.983"
"M633.478T1401.37"," 520225.6"," 558801.3"," 619174.1"," 871213.8"," 683083.0"," 625790.1"," 673145.9"," 546672.2"," 599345.1"," 566000.0"," 227635.2"," 245904.6","1154979.4"," 797119.5"," 804000.0","1370000.0"," 184877.2"," 862132.3","1030000.0"," 794202.7"," 584312.0"," 739106.6","1181824.3","1041296.6","1330000.0"," 968445.4"," 826000.0","1070000.0","1152473.7"," 202670.3","1389702.6","1159630.5"," 970499.9","1010000.0"," 587404.0"," 736972.7"," 750047.0"," 728230.2"," 166542.5","1226285.6"," 131853.9"," 383465.3"," 272809.3"," 393000.0"," 216093.6"," 670171.0","1329239.5","1280000.0","1073286.2"," 986809.5"
"M646.455T1423.013"," 56562.53"," 42722.07"," 59941.96"," 71025.51"," 93411.88"," 52752.40"," 51202.78"," 58048.49"," 61331.79"," 51100.00"," 32868.47"," 21304.45"," 95911.75"," 88298.42"," 72200.00","139000.00"," 17758.45"," 93340.98"," 80300.00","115337.12"," 38008.98"," 80723.10"," 99018.18","147939.18","128000.00","106494.68"," 85700.00","208000.00","133537.83"," 22182.73","105295.27","208316.39","155201.40","102000.00"," 61513.56"," 59065.44"," 67375.95"," 58169.66"," 20332.45","138795.06"," 43068.65"," 31440.41"," 19569.28"," 42000.00"," 21572.51"," 79603.73"," 85234.39"," 90500.00","131218.13"," 87743.54"
"M637.412T1422.711","102360.04"," 87864.47"," 95625.61","131375.89","124619.37","116923.50","109075.69","110345.84","103849.16","113000.00"," 68419.36"," 43760.51","127373.85","105525.04","117000.00","160000.00"," 45972.91","134560.52","170000.00","143241.16"," 61474.89","131927.93","161830.86","199015.29","186000.00","137348.17","171000.00","206000.00","169182.36"," 53123.50","175931.57","219396.65","167832.66","165000.00","145799.78","140685.26","155530.70","125861.28"," 38011.47","184814.30"," 51063.72"," 67261.62"," 41530.85"," 82700.00"," 44580.94","118163.22","124986.87","227000.00","169282.31","141261.85"
"M591.474T1330.445","130661.57","127396.93","138825.94","217333.46","248322.17","101285.98","351658.96","140083.60","191476.82","173000.00"," 52584.29"," 37309.05","353241.91","173267.90","246000.00","434000.00"," 24422.22","287457.34","333000.00","298150.85"," 80933.80","251686.33","401536.96","459810.05","452000.00","354838.41","361000.00","494000.00","461127.91"," 37345.28","419319.02","539353.05","316898.69","375000.00","191004.05","257536.44","312434.63","214080.14"," 34868.93","457637.94"," 37311.39"," 83898.60"," 39228.33"," 96800.00"," 35433.17","203613.11","811224.02","619000.00","359937.73","355831.86"
"M645.45T1333.909","228230.31","181888.61","235718.91","294292.08","287004.32","250695.59","383452.11","196992.66","236474.71","256000.00","184170.23"," 29668.58","305647.06","223455.52","230000.00","370000.00"," 52065.19","284974.03","280000.00","323479.91"," 63119.62","312372.97","401946.51","381597.75","420000.00","391694.64","302000.00","453000.00","313237.79"," 28201.35","318996.22","443078.14","360703.49","345000.00","290463.16","311826.40","294850.73","263405.97"," 44686.98","277607.95"," 62376.22"," 41650.90"," 54104.71","142000.00"," 39130.91","235781.14","313676.83","428000.00","458436.94","305555.21"
"M593.485T1401.37","134163.81","140952.95","164720.02","232764.21","204381.89","168325.47","222887.42","183028.34","221155.84","169000.00"," 78431.48"," 51432.61","295872.33","196269.80","268000.00","335000.00"," 53538.40","272104.30","284000.00","261169.05","156741.04","216680.45","263561.92","282573.67","306000.00","315815.58","279000.00","341000.00","333144.57"," 66489.44","359844.89","333378.11","233447.10","320000.00","143800.06","201714.83","224130.41","195280.16"," 65917.97","425821.47"," 62673.24","126087.22"," 78305.11","117000.00"," 67537.36","189429.02","453947.39","375000.00","310190.08","312005.94"
"M591.474T1402.346","149877.39","143453.08","161171.66","235634.37","257745.91","110096.17","333164.76","157512.38","197774.13","183000.00"," 56710.09"," 49540.83","369627.76","194263.35","277000.00","451000.00"," 33767.18","296974.53","354000.00","311222.55"," 96333.61","242957.34","435676.61","468019.32","488000.00","371806.88","381000.00","526000.00","474293.02"," 43396.29","458625.64","568925.11","337393.45","390000.00","196415.36","256217.27","334798.91","235394.48"," 38586.61","487691.66"," 40466.85","101034.59"," 44646.67","107000.00"," 40387.55","216530.67","795430.49","605000.00","367899.20","383673.38"
"M645.458T1212.039","214794.36","174822.90","224920.03","266368.11","265379.75","231828.02","379772.63","190063.27","213711.84","250000.00","160778.17"," 20779.45","270329.99","206351.15","215000.00","329000.00"," 44646.89","250875.14","248000.00","278478.36"," 43094.00","270793.34","401800.56","335313.60","324000.00","362370.79","257000.00","351000.00","264772.60"," 20323.69","244872.15","377269.76","324288.40","296000.00","285389.22","286053.90","242510.47","247432.68"," 35517.57","221336.01"," 46435.37"," 24684.92"," 41432.43","127000.00"," 28250.06","215809.02","356681.10","475000.00","397887.95","266751.74"
"M555.363T1275.021"," 73820.284"," 70668.299"," 42519.672"," 44161.861"," 81566.274"," 50411.570","191373.692","174683.522"," 71882.040"," 63300.000"," 46081.675","  5844.119"," 69872.341"," 56525.348"," 64500.000"," 96600.000","  5001.739","159603.355"," 77200.000","137867.184"," 16825.366"," 99885.456","111361.595","190458.176","116000.000","161354.697","101000.000","102000.000"," 91700.778","  3092.320"," 74222.879","123638.090","107906.091","102000.000","165166.250","111807.850"," 88593.945"," 84261.603","     0.000","101917.300"," 12910.304","  8649.596"," 12250.342"," 45500.000"," 10584.933"," 90158.173","161790.362","332000.000","457727.118"," 72186.852"
"M670.528T1488.279"," 49964.27"," 50338.61"," 52886.87"," 78614.75"," 87543.68"," 60495.63"," 53331.26"," 54640.54"," 52689.10"," 46200.00"," 44933.99"," 27967.04","102981.52"," 63342.49"," 55300.00"," 92200.00"," 29389.64"," 80787.91","104000.00"," 86021.57"," 64167.28"," 77248.87"," 97208.00","127171.49","122000.00"," 82689.67","109000.00","174000.00","129144.49"," 26266.01","105832.23","171495.04"," 97550.00"," 95900.00"," 57775.11"," 62975.46"," 81155.30"," 76581.43"," 23871.18","147476.12"," 26126.41"," 47175.50"," 22730.46"," 38000.00"," 43182.43"," 82305.67","120634.23","125000.00","105507.69"," 93342.90"
"M679.449T1212.039","295935.62","166202.51","240559.22","296747.65","343084.54","326322.50","436666.20","296958.98","264387.25","372000.00","389554.60"," 43065.51","289273.35","293020.22","266000.00","428000.00"," 66502.54","433975.26","433000.00","421120.22"," 34582.30","360822.86","419398.05","609152.83","620000.00","445585.54","377000.00","522000.00","374696.88"," 36389.51","358606.62","689238.75","457926.76","439000.00","375093.11","511524.07","383694.41","323658.49"," 39692.94","370692.53"," 34714.85"," 25270.25"," 32346.74","327000.00"," 38207.71","269936.85","620099.60","980000.00","371043.78","369973.27"
"M697.464T1209.593","205644.125","190851.008","435547.270","319486.732","244886.114","187143.289","664964.577","150659.348","269396.939"," 84600.000","118530.821"," 10143.892","519328.990","293704.638","191000.000","259000.000","  4971.883","425998.173","515000.000","423119.869"," 15779.290","255382.609","607060.322","690756.613","609000.000","467255.649","379000.000","642000.000","430625.224"," 13766.140","423072.259","673241.049","552473.204","548000.000","369915.182","410549.152","453455.428","330267.017"," 13409.312","469817.642","  8536.716"," 11893.009"," 11147.712","110000.000"," 13206.435","217259.529","718529.865","950000.000","338431.252","458108.227"
"M985.571T1146.934","174160.642","112593.867","165145.579","144368.473","169777.372","178462.141","210857.931","169618.450","123218.655","197000.000","110025.613","  7807.915","129531.693","151301.507","162000.000","142000.000"," 11917.359","125480.205","129000.000","128808.398","  1537.353","178876.252","191828.130","145460.725"," 97400.000","149300.626","155000.000","111000.000","112383.819"," 15277.650"," 92054.447","115500.518","145428.538","125000.000","142313.350","127972.639"," 95752.594","128772.898","  8631.954"," 88035.691"," 14151.517"," 13738.032"," 13824.517"," 98700.000","  9848.040"," 99418.823","118428.230","155000.000"," 94524.193","101368.302"
"M565.409T1275.021"," 87707.87"," 74662.51"," 75210.22"," 99871.96","125537.91"," 80161.96","225898.21"," 65157.79"," 88577.00"," 74400.00"," 47992.49"," 27962.26","134813.38"," 96518.57"," 95700.00","131000.00"," 26042.26","114053.14","130000.00","127495.51","177257.27","120936.62","159730.21","185288.60","189000.00","143600.69","159000.00","210000.00","125169.45"," 22465.59","219892.52","237508.46","137267.33","177000.00","102771.95"," 97782.66","116663.92"," 82739.64"," 23566.06","396278.37"," 23521.99"," 52679.64"," 40863.80"," 54600.00"," 13986.72"," 83282.44","306721.83","360000.00","150419.17","194275.45"
"M698.466T1253.346"," 92645.417"," 89452.116","176541.150","156938.148","124584.408"," 98140.725","234659.688"," 66581.156","108962.561"," 66100.000"," 60672.275"," 11593.380","223954.029","129719.593"," 61400.000","136000.000","     0.000","175422.678","240000.000","195813.753","  6295.472","129873.872","229299.320","292577.952","277000.000","218367.778","158000.000","293000.000","203351.747","  8401.699","160937.260","316305.089","225016.658","238000.000","163310.195","177474.788","194120.587","154454.595","  4927.192","209235.973","     0.000"," 14137.350","  6651.587"," 39000.000"," 10624.107","105073.124","284609.405","330000.000","131194.757","225055.071"
"M661.446T1372.452","164800.88","155975.25","199078.06","265194.38","211174.65","188192.32","232763.05","170793.72","234181.54","197000.00","147551.66"," 79714.85","287402.63","211302.21","228000.00","256000.00"," 82780.95","278917.55","254000.00","309641.04"," 66802.65","249731.94","361387.71","414278.39","430000.00","316500.25","276000.00","481000.00","331208.90"," 88917.61","288082.19","585495.45","358379.09","391000.00","243793.86","231726.93","292110.22","218900.37","104373.07","399959.65","109480.60"," 86672.14"," 96844.43","181000.00"," 68313.22","194094.10","358339.67","480000.00","300151.34","284525.41"
