"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M589.459T1264.044,3.5511,0.0014681,2.8333,0.17064,First-tp_Control - Third-tp_Drought; Third-tp_Xanthomonas - First-tp_Control; First-tp_Drought - Third-tp_Drought; First-tp_Drought - Third-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Third-tp_Control - First-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Drought; Third-tp_Xanthomonas - Other; Second-tp_Control - Third-tp_Drought; Third-tp_Xanthomonas - Second-tp_Control; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Drought; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M679.452T1355.733,3.4879,0.0016881,2.7726,0.17064,Second-tp_Xanthomonas - First-tp_Control; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Third-tp_Control - First-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Drought; Other - Third-tp_Fusarium; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Drought; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M336.26T1207.169,3.4878,0.0016885,2.7725,0.17064,First-tp_Control - Third-tp_Drought; First-tp_Control - Third-tp_Fusarium; First-tp_Drought - Third-tp_Drought; First-tp_Drought - Third-tp_Fusarium; First-tp_Fusarium - Third-tp_Drought; First-tp_Fusarium - Third-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Drought; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Drought; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M556.445T1212.039,3.4423,0.0018681,2.7286,0.17064,First-tp_Control - Third-tp_Drought; Third-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; First-tp_Drought - Second-tp_Fusarium; First-tp_Drought - Third-tp_Drought; First-tp_Drought - Third-tp_Fusarium; First-tp_Fusarium - Third-tp_Drought; Third-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - First-tp_Xanthomonas; Other - Third-tp_Drought; Third-tp_Xanthomonas - Other; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Third-tp_Xanthomonas - Second-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Drought; Third-tp_Control - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M590.465T1389.456,3.4423,0.0018681,2.7286,0.17064,First-tp_Control - First-tp_Fusarium; First-tp_Control - Third-tp_Fusarium; First-tp_Drought - Third-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium; Other - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Third-tp_Control - First-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Fusarium; Second-tp_Control - Third-tp_Fusarium; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M424.216T1338.866,3.4266,0.0019346,2.7134,0.17064,First-tp_Control - Third-tp_Drought; First-tp_Control - Third-tp_Fusarium; First-tp_Drought - First-tp_Fusarium; First-tp_Drought - Second-tp_Control; First-tp_Drought - Second-tp_Fusarium; First-tp_Drought - Third-tp_Drought; First-tp_Drought - Third-tp_Fusarium; Third-tp_Control - First-tp_Fusarium; First-tp_Fusarium - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Other; Other - Third-tp_Drought; Third-tp_Control - Second-tp_Control; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Third-tp_Control - Second-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Drought; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M505.253T1269.605,3.4147,0.0019863,2.702,0.17064,First-tp_Control - Third-tp_Drought; First-tp_Drought - Third-tp_Drought; First-tp_Fusarium - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Drought; Other - Third-tp_Drought; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Drought; Third-tp_Control - Third-tp_Drought; Third-tp_Fusarium - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Drought
M723.435T1322.772,3.4021,0.0020429,2.6897,0.17064,First-tp_Control - Third-tp_Drought; First-tp_Control - Third-tp_Fusarium; First-tp_Drought - Third-tp_Drought; First-tp_Drought - Third-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; First-tp_Fusarium - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Drought; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Drought; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M723.451T1338.726,3.3877,0.0021095,2.6758,0.17064,First-tp_Control - Third-tp_Drought; First-tp_Control - Third-tp_Fusarium; First-tp_Drought - Third-tp_Drought; First-tp_Drought - Third-tp_Fusarium; First-tp_Fusarium - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Drought; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Drought; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M682.472T1373.006,3.3869,0.0021132,2.675,0.17064,Second-tp_Drought - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Third-tp_Xanthomonas - First-tp_Control; First-tp_Drought - Third-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Drought; Other - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Third-tp_Control - First-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Fusarium; Third-tp_Xanthomonas - Second-tp_Control; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M447.25T1372.484,3.3811,0.002141,2.6694,0.17064,First-tp_Drought - First-tp_Control; First-tp_Control - Third-tp_Drought; First-tp_Drought - First-tp_Xanthomonas; First-tp_Drought - Other; First-tp_Drought - Second-tp_Control; First-tp_Drought - Second-tp_Drought; First-tp_Drought - Second-tp_Fusarium; First-tp_Drought - Second-tp_Xanthomonas; First-tp_Drought - Third-tp_Control; First-tp_Drought - Third-tp_Drought; First-tp_Drought - Third-tp_Fusarium; First-tp_Fusarium - Third-tp_Drought; First-tp_Fusarium - Third-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; Other - Third-tp_Drought; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Drought; Third-tp_Control - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M680.474T1439.81,3.3522,0.002284,2.6413,0.17064,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Third-tp_Drought - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Third-tp_Drought - First-tp_Drought; Other - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Third-tp_Drought - First-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas; Third-tp_Drought - First-tp_Xanthomonas; Other - Third-tp_Fusarium; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Fusarium; Third-tp_Drought - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Fusarium
M381.31T1573.977,3.3521,0.0022843,2.6412,0.17064,First-tp_Control - First-tp_Drought; First-tp_Control - Third-tp_Xanthomonas; First-tp_Xanthomonas - First-tp_Drought; Other - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; First-tp_Fusarium - Third-tp_Xanthomonas; First-tp_Xanthomonas - Third-tp_Xanthomonas; Other - Third-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Control - Third-tp_Xanthomonas; Second-tp_Drought - Third-tp_Xanthomonas; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Xanthomonas; Second-tp_Xanthomonas - Third-tp_Xanthomonas; Third-tp_Control - Third-tp_Xanthomonas; Third-tp_Drought - Third-tp_Xanthomonas; Third-tp_Fusarium - Third-tp_Xanthomonas
M521.363T1439.751,3.2825,0.0026709,2.5733,0.17064,Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - Third-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Drought; Second-tp_Control - Third-tp_Drought; Second-tp_Control - Third-tp_Fusarium; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Drought; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M668.506T1440.08,3.2446,0.0029088,2.5363,0.17064,First-tp_Control - First-tp_Fusarium; First-tp_Control - Third-tp_Fusarium; First-tp_Drought - First-tp_Fusarium; First-tp_Drought - Third-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium; Other - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Third-tp_Control - First-tp_Fusarium; Third-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Fusarium; Second-tp_Control - Third-tp_Fusarium; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Control - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
M555.447T1456.772,3.2368,0.0029607,2.5286,0.17064,Second-tp_Xanthomonas - First-tp_Control; First-tp_Control - Third-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; First-tp_Xanthomonas - Third-tp_Drought; First-tp_Xanthomonas - Third-tp_Fusarium; Other - Third-tp_Drought; Second-tp_Control - Third-tp_Drought; Second-tp_Drought - Third-tp_Drought; Second-tp_Drought - Third-tp_Fusarium; Second-tp_Fusarium - Third-tp_Drought; Second-tp_Fusarium - Third-tp_Fusarium; Second-tp_Xanthomonas - Third-tp_Control; Second-tp_Xanthomonas - Third-tp_Drought; Second-tp_Xanthomonas - Third-tp_Fusarium; Third-tp_Xanthomonas - Third-tp_Drought; Third-tp_Xanthomonas - Third-tp_Fusarium
